global_rank,page_position,page,ad_type,ad_subtype,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,brand_name,scraped_at,inner_products_count
41,44,1,Organic,,B0BMK73TPP,"KAHAF COLLECTION 100% Cotton Bath Towels, 24x48 Pack of 6 Towels, Quick Dry, Highly Absorbent, Soft Feel Towel, Gym, Spa, Bathroom, Shower, Pool, Luxury Soft Towels (Grey, 24x48-6 Pack)",N/A,CNY 197.98,,CNY 32.99,3.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/91YIxo+7fEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91YIxo+7fEL._AC_SL1500_.jpg,,2026-04-14T11:33:17.757051,
42,45,1,Organic,,B0103XVVME,Luxury White Hand Towels - Soft 100% Turkish Cotton | Highly Absorbent Hotel spa Bathroom Towel Collection | 16x30 Inch | Set of 6,N/A,CNY 157.00,,CNY 26.16,4.5,,,,,,,,False,False,https://m.media-amazon.com/images/I/71XLoBSG4aL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71XLoBSG4aL._AC_SL1500_.jpg,,2026-04-14T11:33:17.770278,
43,46,1,Organic,,B0CPT14R69,"ZUPERIA White Bath Towels Bulk 12 Pack (20 x 40 Inches) - 100% Cotton Economy Light Weight Towels for Commercial Use - Quick Dry, Ultra-Soft, and Absorbent Bulk Towels",N/A,CNY 202.76,,CNY 16.87,3.9,,,,,,,,False,False,https://m.media-amazon.com/images/I/81nDQei5XYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nDQei5XYL._AC_SL1500_.jpg,,2026-04-14T11:33:17.775790,
44,47,1,Organic,,B0C4CJRB9X,Cozy Earth Ribbed Bath Towel Set - 60% Cotton 40% Viscose from Bamboo Bathroom Towels - Soft & Absorbent Textured Ribbed Pattern - 2 Pack Charcoal,N/A,CNY 874.14,,CNY 437.07,4.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/51V4+rJotBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51V4+rJotBL._AC_SL1500_.jpg,,2026-04-14T11:33:17.782346,
45,48,1,Organic,,B013SX3T08,"Tork Multifold Hand Towel, Natural, 100% recycled, FSC certified, Compatible with H2 Dispensers, 16 packs x 250 sheets (MK520A)",N/A,CNY 235.61,,CNY 5.87,4.5,,,,,,,,False,False,https://m.media-amazon.com/images/I/71XQx-nmweL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71XQx-nmweL._AC_SL1500_.jpg,,2026-04-14T11:33:17.792942,
46,49,1,Organic,,B0DZ5XXK8J,"REDKISS 6-Piece Bath Towel Set - 2 Washcloths, 2 Hand Towels, 2 Bath Towels | Ultra-Fiber Coral Fleece, Super Absorbent, No Lint & No Fading | Perfect for Bathroom, Spa, Gym | Family -Olive Green",N/A,CNY 130.44,,CNY 204.81,4.1,,,,,,,,False,False,https://m.media-amazon.com/images/I/81Ba7iYFhLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ba7iYFhLL._AC_SL1500_.jpg,,2026-04-14T11:33:17.805989,
47,50,1,Organic,,B00M6XTBJK,"Tork Multifold Hand Towel White H2, Universal, 100% Recycled Fibers, 16 x 250 Towels, MB540A",N/A,CNY 286.42,,CNY 7.17,4.2,,,,,,,,False,False,https://m.media-amazon.com/images/I/71BqYrSR-6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71BqYrSR-6L._AC_SL1500_.jpg,,2026-04-14T11:33:17.812521,
48,51,1,Organic,,B09P9L5WHB,"QUBA LINEN 100% Cotton Beach Towels, Cabana Stripe Beach Towel, Large Pool Towels, Highly Absorbent, Light Weight, Soft and Quick Dry Swim Towels, for Parties, Guests (Pack of 6)",N/A,CNY 252.61,,CNY 42.14,3.8,,,,,,,,False,False,https://m.media-amazon.com/images/I/61sBT5m8InL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61sBT5m8InL._AC_SL1500_.jpg,,2026-04-14T11:33:17.819619,
2,52,1,SB_Video,video,,N/A,https://aax-us-east-retail-direct.amazon.com/x/c/JLvl-2qsS84Aeq8DSn_Tia4AAAGdigze7QEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICD5fwLe/clv1c_ek-wBYHXErbWDn2nI1fIOog9-xwdaBzzeKaC51bmXrdZDcvXG2oSvPibtyN7-wt_Y6YVlwF1DTQFFO8HJmk_vNkYjez32n-edz5hi-KyWPz0kw6q7TT8WiHwsvhwu0ClfDGzjPHy5R7rop34Bh_bvFubotesVlTrCsHh0zuK_YedX3YXgH380mqZsgn_KHEqitQDqjkJW4fC2-KZL0SIciioFFt6AlCrya_Urr_TYDIGBdmT02EAWUvSAA0JEmPyxNIvxglB5U4Zb5aGI7J0-kUH3Bql5Ir3wb8e45MRhx3o2RN9LzJj-BmUi2ZFNDBo-k-nwozULSba1XbR3-Q5ZcEVtiqZS_lhvl026oMn7SrzJBHEdoSZ6h82Puq41QDhaSJQVRq9BIXLiSc8tMYPnsmhkgohZdIEp_AmIjLyJE0-7qbUdyb1GfoGCNHDhP6NHcaUwRnCOutdG6oK395l1syzB6bStAM2NWefHcPPmGt6CYtaac6-y1u3TZPk1C_yNI8YBg_0lXK9EEVrwRmghR5ctQb8KhQBi4mBmW2mJnKutuNWBkdxTDVDgTOpyT3MPwMETHQtfDZEq-8CAT7EVSB8Y-OoLRBi8pRY7In4eNMb20MTwfJWbl_zF8tOFN7I9KYbBJJg79Fhpk8NWsopmUASDpyPHNWu1hTdKZkpd9pwmmLdS3cCLx0BPpKiQRy1u-QJq1kb54T9gA1WKk9smh0C2tV4z1fQJMtegyFVpp2uzw7cnuC8AJwbIH1QoHaZN-iX09ERWQIdwiKItaWkcjHeKuXBH9vEyPV6m6kMgtLoSpaiijvydV5k1SGTuGoRrQdj9SN25y3a6nqGR_FL9PBhaugsIAJZYazJvJFjo6Qt5gbF-bB3XXxJ7xIO8pI1YPE0sxKpz2CibHpm2N39o3X-xEL-uaD5rC8cUa8Gnt7URAnwZCvKEs-MqX2xWnqQPBjYf6DYmZ2xpA0I6An3p5sfkUtzODljHKqhTUTS0l5P1ew-dvC8SBUiIj-I7OXOY1vot52_sbE6eebem2etSCs7pMUDNtcCAUhbrW020JW01InQnga7fON5FTXQbsf9QAP0CZPSmkOa3dtPVX_hgx0SZgc5czkCn6Xw2kk2OR69UP6bNwtEM9KHWfCmxy-Sx1Icy2sKrx13ff0h1o9t-wzsAZZ9H1-jJ0Mes9HlMHXB6mfaq8KKQ_o6rTTjmTn2C5y-g59DHcPIUJ6m1Ee6pKnJHssJI4WCrKi5XYE1swYW0HiACIrhgM1DerogMfxEnBH0GIpRatFLRqXf2n1XONzxt9a939S1Zf60F-sr6vvJLPFHcZhesumrWE_GROFwj5ROYAys0sCv2Y0ezZU6H771Qn1xT_KE2j9dk4BQf-rHRyYSfRm_6OredEJ6jP4ymH3ghfinlaXdCA9M0DAlvjw50lGK1rbA_XWIzdYUoiR8jVFpo5dujgSSpleaLH9mpSc_v8JcK6F4iqLhIA_MQZX50j4Uz-Zn6W02Mu6U81ONIPTQA1Sjiu8naZzRJs0otDeMQ3NN7mKhx13Fryn8AuERNCyRYncpavLFBxP4Q1J5Cksa1XAQiS_MjNOhp6L852xOrLUaV_JOhaIQUesuxUjvLqYKRYf81Itj2w/https://www.amazon.com/dp/B07MSFYNRF?pd_rd_i=B07MSFYNRF&pf_rd_p=37132d36-da68-4ed0-8d23-842f0825e4d6&pf_rd_r=1HVSJ992PHEDNCDKQ4C1&pd_rd_wg=kkoWp&pd_rd_w=jw2og&pd_rd_r=3e8d4899-2680-4ac5-a581-84bb17ba4e11,,,,,,,,,,,,False,False,,,,2026-04-14T11:33:17.825138,
2,55,1,SB,brand_showcase,,N/A,https://aax-us-east-retail-direct.amazon.com/x/c/JC7-CRYiyzioQbI5904FvakAAAGdigzfkgEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAOkKC5/clv1c_ek-wBPHXLcTWXmxht19pu0GuCw57KhkpB2rXOtdmz2nZLhKaFSDaINfElr7UpbxE10lOS_zKMh0R2_osEjWkjA9TfG7gZhOzspuKM97FUHyUC5LXEAb7na3-5oUcxhAYUUIyioIykykH3wa0Mi4Q_-pL4N2ZrjX26oSRz7Cm4PJvmc_9xonDnuJMtkX4CpCiizbqZ1vKEi_EvdRk58lHnHiTl1M1Juz0sFcOGjoU-QqkUnf43AduX5xbitBDXpAyxsZxaxs0DwJeKlLFRkRw_ioC7-qyZO8QOe_gPVZ1_tt73kVY3lhyfVP8lH3iBlZBVS4ljaPFeHQU788GiAxc7syuUegBXB-EIdIadQQTg3rgAipVDzQXujSJUNQ1CAVvYGpg3ikeNFnZxqg-a6ZJg6tiyCZdyTjdNkR8aW7dFKbbgw2P1wu--1oGGz3YOp9Bl5xK56I2HLg9po4s8Drn_U3yZeLb2P1daRRZ0FFKIEL4uUPyLwwBxOFIb7OH2vHWOBr3HhW9qHTumKO2FTjv34mdVQVdzQrSoA3an19NgsYp5A176sTN1X95XESdPr4O02S2O8Qcr9WoAvOryvfrsqE1rtGPumM2G4Rg_2pzhSk5GNLCsxfrSPEwXVbqlKrzRc2bpUz0yRKPyUyfEaiJx0VVU7lQQpyT1EQqpDiad1icLYsuIFGzj6zpu3CpTFexqlq4sxlMgX92gDVcScq9IKIoJ4o4AEjR1ucP0SaKGHeHzry1NzyauuqkFFiBoohKgXQYPUCO6RpcRyGjkTLWpgREXl00P5uufomwZ9wW07n36i5ruQQzuESav-s9wep7zQaYW8VNwoODg18jZWuUovw_x8WF9OYsYMA1Tpw8OJwzNYMN2ho-wEGAtceqRxOvR8v6ZDZM2qkFxZAjSd3Y5I1Fnt7FRbRsOb8ugWsFIm-Y5KIFXeYEWplYD1jW0sKVCluWoVA6mWEbgijSkBHbYv0n8IGAZp2io7fMtYMDnfXo0tiPL5OZwxit-Q_z7UDHP8YVWe5H_VqfhtlnMf1okOa7YfD4WbR_2viMv1tTHPgY3OCtcwxg0HdDcHpzurelMF2o_2DPrFcH9a3cIEH6Gv_W3LLAl4UQ5RfqaKNlRoKX7xCPKk_X-BQIAiQm5Nav6uDRxeurjq97ukUHk2yNHH_tJul4SwpA8zCBQhKoguBN3TvikE9RBd5hJ_zIfrFqEIBHg2vDUx_Q2HGddH-HVmTTtyeo2LANqBpKFrxyMpr6VXDcZ4gkla2lRIc52qtGQ4d0ybFV_bE70Xi4yEql8mPCvLGmwb0fUwhfZs826u5UM1xQEUnLPKwzAdgTBdle0B0OvBRk9rFBLDpyVRi-BHSRe1l6-b7GX3RmcyD4gCW6LVWHj-HW2lMmBLUegSLonewS9DCB__1JjtdJSSSh1RxoXTv2whW-lt78YwvtEYWi5TSDVhmgh3pf_24sw7hwp7XLEzPxg5yi1tDhmjKxJPL07pmq21R-d9u8kCvCWxQdi9mNvp9uF3bvTXefB0hW-L9SJv0_miyRJFZquqqIi4uwJvA_PNOMR3Gn__fWY35KRyuBo0jlTSn2AckCnvTT-eh99LXimR8KpHJnRtAQrvivH3EmLAfj6klWGMNyRNpl-01zvKz2N0FAJTrGkryvzMRS_nm-wMJrpqzHzYuZeg/https://www.amazon.com/stores/page/C4485EE1-0232-4934-B38B-4E658A4BE660/?_encoding=UTF8&store_ref=SB_A10302472NZNJFJT4AW95-A07138792XTAKZ44CMQ69&pd_rd_plhdr=t&aaxitk=e48f4622a1d3f29b0a61bc9771e432bc&hsa_cr_id=0&lp_asins=B06XMXX6DD%2CB079GB6MGD&lp_query=towels&lp_slot=desktop-hsa-3psl&ref_=sbx_be_s_3psl_mbd_mb0_bkgd&pd_rd_w=SHx2l&content-id=amzn1.sym.cd7c548b-a599-426f-9ffe-daa1aa803c87%3Aamzn1.sym.cd7c548b-a599-426f-9ffe-daa1aa803c87&pf_rd_p=cd7c548b-a599-426f-9ffe-daa1aa803c87&pf_rd_r=1HVSJ992PHEDNCDKQ4C1&pd_rd_wg=X6p5f&pd_rd_r=58af718c-99c5-4b47-ab02-ba9113dc5a63,,,,,,,,,,,,False,False,,,N/A,2026-04-14T11:33:17.854124,
