rank,page,ad_type,ad_rank,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,scraped_at,inner_products_count
15,1,Organic,,B07FBZVWB4,"KAHAF COLLECTION 6 Pack Bath Towels Set (27 x 54 Inches) 100% Ring Spun Cotton, Lightweight, Quick Dry, Highly Absorbent Towels Multicolor, (27x54) Inches",N/A,CNY 170.39,,CNY 28.41,3.6,,,,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_SL1500_.jpg,2026-04-14T11:03:24.959906,
16,1,Organic,,B0BL6JGQM4,"POLYTE 430 GSM Microfiber Oversize Quick Dry Lint Free Bath Towel, 60 x 30 in, 4 Pack (Waffle Weave)",N/A,CNY 286.08,,CNY 71.50,4.4,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91IX-0seZ-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91IX-0seZ-L._AC_SL1500_.jpg,2026-04-14T11:03:24.973961,
17,1,Organic,,B0812B1FMQ,"Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 50 ct per pack, 2 Packs, 100 Ct Total",N/A,CNY 245.17,,CNY 2.46,4.8,,50 Count (Pack of 2),,,,"CNY 58.80 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/819VWIUIXSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819VWIUIXSL._AC_SL1500_.jpg,2026-04-14T11:03:24.984048,
18,1,Organic,,B008C8J5QC,"Utopia Towels, Salon Towel, Pack of 24, Not Bleach Proof, 16 by 27 Inches, Highly Absorbent Cotton Towels for Hand, Gym, Beauty, Spa, and Home Hair Care, Black",N/A,CNY 273.10,,CNY 11.40,4.5,,,4 sizes,,,CNY 169.91 delivery Apr 21 - 28,,False,False,https://m.media-amazon.com/images/I/91-JpSMKXDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-JpSMKXDL._AC_SL1500_.jpg,2026-04-14T11:03:25.003328,
19,1,Organic,,B07G9LQFJ8,"Luxury White Bath Towel Set of 8 Pieces - 100% Turkish Cotton 700 GSM Highly Absorbent Towels for Bathroom, 2 Bath Towels, 2 Hand Towels, 4 Washcloths",N/A,CNY 273.10,,CNY 34.15,4.5,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_SL1500_.jpg,2026-04-14T11:03:25.023958,
21,1,Organic,,B0DWSZ4SVY,"Utopia Towels 6 Pack Bath Towel Set (27 x 54 Inches), 500 GSM 100% Ring Spun Cotton Medium Lightweight and Highly Absorbent Quick Drying, Premium Towels for Hotel, Spa and Bathroom (White)",N/A,,,,4.3,,,5 sizes,,,,,False,False,https://m.media-amazon.com/images/I/81y+Ipv+sHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81y+Ipv+sHL._AC_SL1500_.jpg,2026-04-14T11:03:25.049166,
22,1,Organic,,B09ZY2D42V,"Infinitee Xclusives Luxury 100% Ring-Spun Cotton White Bath Towels Set of 4 (27x54 inches) – Soft, Absorbent & Quick-Drying Towels for Bathroom, Gym, Spa & Hotel Use (Brilliant White, Bath Towels)",N/A,CNY 252.61,,CNY 63.17,4.3,,,5 sizes,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81MXIB0LoRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81MXIB0LoRL._AC_SL1500_.jpg,2026-04-14T11:03:25.076632,
23,1,Organic,,B07B6GC2R5,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", White",N/A,CNY 126.34,,CNY 63.17,4.1,,,10 sizes,,,"CNY 72.12 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61kQk2OvjvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61kQk2OvjvL._AC_SL1500_.jpg,2026-04-14T11:03:25.093686,
24,1,Organic,,B01056KA58,"White Classic Luxury Bath Towels Set of 4 Large - 700 GSM Turkish Cotton Ultra Soft Bath Towels 27x54 | Highly Absorbent and Quick Dry | Hotel Towels for Bathroom Luxury, Plush Shower Towels, White",N/A,CNY 307.25,,CNY 76.83,4.4,,,,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81i11OTEtKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81i11OTEtKL._AC_SL1500_.jpg,2026-04-14T11:03:25.112156,
25,1,Organic,,B010S5WEZA,"Amazon Basics Highly Absorbent, Fast Drying 100% Cotton Washcloths for Bathroom, Machine Washable, Soft, 12 x 12 in, White, 60-Pack",N/A,CNY 293.59,,CNY 4.92,4.6,,,4 sizes,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61NBfRkYLKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61NBfRkYLKL._AC_SL1500_.jpg,2026-04-14T11:03:25.128209,
