rank,page,ad_type,ad_rank,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,scraped_at,inner_products_count
6,2,Organic,,B07G9LQFJ8,"Luxury White Bath Towel Set of 8 Pieces - 100% Turkish Cotton 700 GSM Highly Absorbent Towels for Bathroom, 2 Bath Towels, 2 Hand Towels, 4 Washcloths",N/A,CNY 273.10,,CNY 34.15,4.5,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_SL1500_.jpg,2026-04-14T11:03:43.043277,
7,2,Organic,,B005TOWQ4A,"Superior Luxury Cotton Bath Towel - 6 Piece Set, Premium Egyptian Cotton Towels, Gold",N/A,CNY 430.24,,CNY 71.71,4.3,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91L3pd1Q3AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91L3pd1Q3AL._AC_SL1500_.jpg,2026-04-14T11:03:43.050391,
8,2,Organic,,B0CN86PP23,"Chakir Turkish Linens | Hotel & Spa Quality 100% Cotton Premium Turkish Towels | Soft & Absorbent (4-Piece Bath Towels, Dark Gray)",N/A,CNY 273.10,,,4.3,,,,,,CNY 169.91 delivery Apr 21 - 28,,False,False,https://m.media-amazon.com/images/I/91xiunUMZDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91xiunUMZDL._AC_SL1500_.jpg,2026-04-14T11:03:43.059107,
9,2,Organic,,B078JWRBFH,"Cotton Paradise 6 Piece Towel Set 100% Cotton Soft Absorbent Turkish Towels for Bathroom 2 Bath Towels 2 Hand Towels 2 Washcloths, Aqua Blue Towel Set",N/A,CNY 232.13,,CNY 273.10,4.4,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91tGj-YppUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91tGj-YppUL._AC_SL1500_.jpg,2026-04-14T11:03:43.074674,
10,2,Organic,,B01056KA58,"White Classic Luxury Bath Towels Set of 4 Large - 700 GSM Turkish Cotton Ultra Soft Bath Towels 27x54 | Highly Absorbent and Quick Dry | Hotel Towels for Bathroom Luxury, Plush Shower Towels, White",N/A,CNY 307.25,,CNY 76.83,4.4,,,,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81i11OTEtKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81i11OTEtKL._AC_SL1500_.jpg,2026-04-14T11:03:43.090774,
12,2,Organic,,B0C4CJRB9X,Cozy Earth Ribbed Bath Towel Set - 60% Cotton 40% Viscose from Bamboo Bathroom Towels - Soft & Absorbent Textured Ribbed Pattern - 2 Pack Charcoal,N/A,CNY 874.14,,CNY 437.07,4.4,,,4 sizes,,,"CNY 155.64 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/51V4+rJotBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51V4+rJotBL._AC_SL1500_.jpg,2026-04-14T11:03:43.099427,
13,2,Organic,,B013SX3T08,"Tork Multifold Hand Towel, Natural, 100% recycled, FSC certified, Compatible with H2 Dispensers, 16 packs x 250 sheets (MK520A)",N/A,CNY 235.61,,CNY 5.87,4.5,,,,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71XQx-nmweL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71XQx-nmweL._AC_SL1500_.jpg,2026-04-14T11:03:43.112108,
14,2,Organic,,B07GPMFZNF,"Amazon Basics 6-Pack Bath Towels, 100% Ring Spun Cotton, 600 GSM, Lightweight and Highly Absorbent, Quick Drying, Hotel Quality, 27 x 54 inches, White",N/A,CNY 243.74,,CNY 40.63,4.6,,,,,,CNY 227.75 delivery,,False,False,https://m.media-amazon.com/images/I/91wxQ6PE64L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91wxQ6PE64L._AC_SL1500_.jpg,2026-04-14T11:03:43.118414,
15,2,Organic,,B07GPTYVTR,"Amazon Basics Premium 100% Cotton, Absorbent Soft Bath Mat, Machine Washable, 684 GSM, White, 30"" x 20"" Hotel Spa Shower/Bathtub Mats, Pack of 6",N/A,CNY 206.79,,CNY 34.49,4.3,,,4 sizes,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81v6811edpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81v6811edpL._AC_SL1500_.jpg,2026-04-14T11:03:43.134791,
16,2,Organic,,B00Q7JFDKK,"Amazon Basics 6-Piece Fade-Resistant 100% Cotton Towel Set, Soft and Absorbent, 2 Bath Towels, 2 Hand Towels, 2 Washcloths, Navy Blue",N/A,CNY 147.44,,CNY 24.59,4.4,,,,,,"CNY 82.98 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81Ryl3HyWuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ryl3HyWuL._AC_SL1500_.jpg,2026-04-14T11:03:43.149035,
17,2,Organic,,B0CH1RSQHY,"Clean Skin Club Clean Towels XL® Supreme, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Thicker Textured Dry Wipes, Ultra Absorbent & Soft, 1 Pack, 50 Ct",N/A,CNY 122.58,,CNY 2.46,4.8,,50 Count (Pack of 1),,,,"CNY 49.92 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61h2wEFeKtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61h2wEFeKtL._AC_SL1500_.jpg,2026-04-14T11:03:43.156087,
19,2,SB_Video,3.0,,N/A,N/A,,,,,,,,,,,,False,False,,,2026-04-14T11:03:43.162197,1.0
21,2,Organic,,B08KLXWB1B,"Belizzi Home Ultra Soft 6 Pack Cotton Towel Set, Contains 2 Bath Towels 28x55 inch, 2 Hand Towels 16x24 inch & 2 Wash Coths 12x12 inch, Ideal for Everyday use, Compact & Lightweight - Black",N/A,CNY 170.66,,,4.0,,,,,,"CNY 69.86 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71aonPWAZ1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71aonPWAZ1L._AC_SL1500_.jpg,2026-04-14T11:03:43.178296,
22,2,Organic,,B01G2MFIDS,"Amazon Basics 100% Cotton Terry Beach Towel, Soft & Absorbent, Quick Drying, Cabana Stripe, Large 30"" x 60"", Green, 2-Pack",N/A,CNY 129.00,,CNY 64.54,4.6,,,,,,"CNY 111.18 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91rTTq+cG6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91rTTq+cG6L._AC_SL1500_.jpg,2026-04-14T11:03:43.194148,
23,2,Organic,,B0F8QCGZ2C,"Jacquotha Black and Ivory Striped Bath Towels Set of 2, Lighter & Quick Dry Towels Large 27.5 x 55 inches, Farmhouse for Bathroom, Pool, Shower",N/A,CNY 245.78,,CNY 122.93,4.2,,,2 sizes,,,"CNY 70.89 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81HKN64kO+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HKN64kO+L._AC_SL1500_.jpg,2026-04-14T11:03:43.202203,
24,2,Organic,,B004JJU6GQ,"Kleenex Professional Ultra Soft Paper Hand Towels, Bulk (11268), Pop-Up Box, Absorbent, White (18 Boxes of 70 Sheets, 1,260 Sheet Total)",N/A,CNY 443.76,,CNY 35.24,4.7,,,,,,"CNY 483.03 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/812tWd8cnGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812tWd8cnGL._AC_SL1500_.jpg,2026-04-14T11:03:43.208239,
25,2,Organic,,B0CKLLWL1Y,"LANE LINEN Beach Towels 6 Pack, Bulk Beach Towels Oversized, Pool Towels for Adults, Pre-Washed, Sand Free Beach Towel, Fast Drying Beach Towel, 39""x71"" - Classic Color",N/A,CNY 273.10,,CNY 45.55,4.4,,,6 sizes,,,"CNY 104.90 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81xzKHYT07L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xzKHYT07L._AC_SL1500_.jpg,2026-04-14T11:03:43.218717,
26,2,Organic,,B0DQLQGL9P,"Bounty Paper Towels Select-A-Size White, 6 Double Rolls, 82 Sheets Per Roll",N/A,,,,4.8,,,27 sizes,,,,,False,False,https://m.media-amazon.com/images/I/81yGWD+YdGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yGWD+YdGL._AC_SL1500_.jpg,2026-04-14T11:03:43.223745,
27,2,Organic,,B0040ZFRSQ,"Georgia-Pacific Pacific Blue Select 2-Ply Perforated Roll Paper Towel, White, 85 Sheets Per Roll, 30 Rolls Per Case, 27385",N/A,,,,4.4,,,2 sizes,,,,,False,False,https://m.media-amazon.com/images/I/71SS4ou-TuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71SS4ou-TuL._AC_SL1500_.jpg,2026-04-14T11:03:43.229919,
28,2,Organic,,B00M6XTBJK,"Tork Multifold Hand Towel White H2, Universal, 100% Recycled Fibers, 16 x 250 Towels, MB540A",N/A,CNY 286.42,,CNY 7.17,4.2,,,,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71BqYrSR-6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71BqYrSR-6L._AC_SL1500_.jpg,2026-04-14T11:03:43.248602,
29,2,Organic,,B0CY2XW4GB,"Amazon Basics Microfiber Car Drying Towels, Highly Absorbent, Lint Free, Scratch Free, Ultra-Soft, Car Detailing, Buffing and Polishing, 16"" x 16"", Yellow, 12-Pack",N/A,CNY 85.98,,CNY 7.17,4.6,,,2 sizes,,,"CNY 73.41 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91uM42fqUbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91uM42fqUbL._AC_SL1500_.jpg,2026-04-14T11:03:43.256667,
30,2,Organic,,B0BRBWN7T5,"Chakir Turkish Linens 100% Cotton Premium Turkish Towels for Bathroom | 16'' x 30'' (4-Piece Hand Towel, White)",N/A,CNY 136.52,,,4.4,,,6 sizes,,,"CNY 71.37 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81+zVaCg3yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+zVaCg3yL._AC_SL1500_.jpg,2026-04-14T11:03:43.273888,
31,2,Organic,,B00BFUSDO4,"Kleenex Disposable Paper Hand Towels, 6 Boxes, 60 Tissues per Box (360 Total), Packaging May Vary",N/A,,,,4.8,,,4 sizes,,,,,False,False,https://m.media-amazon.com/images/I/71KNfvpgHuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71KNfvpgHuL._AC_SL1500_.jpg,2026-04-14T11:03:43.283524,
32,2,Organic,,B0DF8RSVJK,"Scott Paper Towels, Choose-A-Sheet, 6 Double Rolls = 12 Regular Rolls (108 Sheets Per Roll)",N/A,CNY 46.71,,CNY 7.24,4.6,,108 Sheets (Pack of 6),6 sizes,,,"CNY 146.83 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81GimKZfzDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81GimKZfzDL._AC_SL1500_.jpg,2026-04-14T11:03:43.290084,
33,2,Organic,,B0DZ5XXK8J,"REDKISS 6-Piece Bath Towel Set - 2 Washcloths, 2 Hand Towels, 2 Bath Towels | Ultra-Fiber Coral Fleece, Super Absorbent, No Lint & No Fading | Perfect for Bathroom, Spa, Gym | Family -Olive Green",N/A,CNY 130.44,,CNY 204.81,4.1,,,3 sizes,,,"CNY 58.59 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81Ba7iYFhLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ba7iYFhLL._AC_SL1500_.jpg,2026-04-14T11:03:43.303312,
34,2,Organic,,B004YK2KSM,"Pacific Blue Select Multifold Premium 2-Ply Paper Towels (Previously Branded Signature) by GP PRO (Georgia-Pacific), White, 21000, 125 Paper Towels Per Pack, 16 Packs Per Case",N/A,,,,4.6,,,,,,,,False,False,https://m.media-amazon.com/images/I/71dX1kJRLkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71dX1kJRLkL._AC_SL1500_.jpg,2026-04-14T11:03:43.308332,
35,2,Organic,,B01FXMOCPS,"Kleenex Hand Towels, 60 ct - 2 pk",N/A,CNY 101.00,,CNY 168.34,4.5,,60 Count (Pack of 2),,,,"CNY 73.76 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71ucgXnNyKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ucgXnNyKL._AC_SL1500_.jpg,2026-04-14T11:03:43.314938,
36,2,Organic,,B091FFGXBN,"Clean Skin Club Bamboo Viscose Clean Towels® XL 100% USDA Biobased Face Towel, Disposable Face Towelette, Makeup Remover Dry Wipes, Ultra Soft, 50 Ct, 1 Pack",N/A,CNY 122.58,,CNY 2.46,4.6,,1 Count (Pack of 50),2 sizes,,,"CNY 46.85 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61F-JJ5ug8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61F-JJ5ug8L._AC_SL1500_.jpg,2026-04-14T11:03:43.320986,
37,2,Organic,,B0F1JLYL69,"Disposable Face Towels 100 Count, Biodegradable Ultra Soft & Thick Facial Towels for Sensitive Skin, Lint-Free Makeup Remover Dry Wipes, Multi-Purpose Cleansing Towelettes for Face Wipes, Skincare",N/A,CNY 54.50,,CNY 0.55,4.5,,100 Count (Pack of 1),3 sizes,,,"CNY 46.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61ffUrq6TIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61ffUrq6TIL._AC_SL1500_.jpg,2026-04-14T11:03:43.329940,
38,2,Organic,,B0CXY6FS17,"FACEMADE 60 Count XXL Disposable Face Towels 12"" × 12"", 100% Biobased Face Towels Disposable, Clean Facial Towels for Makeup and Clean Skin, Super Soft and Thick Dry Wipes Club",N/A,CNY 66.18,,CNY 1.09,4.8,,60 Count (Pack of 1),,,,"CNY 50.13 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61b63HeKy6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61b63HeKy6L._AC_SL1500_.jpg,2026-04-14T11:03:43.338010,
39,2,Organic,,B08G5F13W8,"Clean Skin Club Clean Towels®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 1 Pack, 25 Ct",N/A,CNY 81.61,,CNY 3.28,4.7,,25 Count (Pack of 1),,,,"CNY 46.99 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61RL2B-J26L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61RL2B-J26L._AC_SL1500_.jpg,2026-04-14T11:03:43.346097,
40,2,Organic,,B0CDGH174C,"Face Towels, 10""×12"" Disposable Face Towel, Face Towelettes XL, Ultra Soft Makeup Remover Dry Wipes, Thick Face Towel for Sensitive Skin, 50 Count (1 Pack)",N/A,CNY 88.71,,CNY 1.78,4.8,,50 Count (Pack of 1),,,,"CNY 46.85 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71U1JfaAD9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71U1JfaAD9L._AC_SL1500_.jpg,2026-04-14T11:03:43.353260,
41,2,Organic,,B000SX3380,Tan Towel Self Tan Towelette Classic 10 Count,N/A,CNY 239.02,,CNY 239.02,4.4,,10 Count (Pack of 1),,,,"CNY 47.39 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/514kHfeHhkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/514kHfeHhkL._AC_SL1500_.jpg,2026-04-14T11:03:43.358924,
42,2,Organic,,B0DKJW4J1F,"Grey Hand Towels for Bathroom - Pack of 4 (16"" x 28"") - 100% Cotton Double Stitched Edges - Ultra Soft, Quick Dry & Highly Absorbent - Everyday Comfort Hand & Face Towels for Family and Gym Use - Grey",N/A,CNY 75.53,,CNY 18.92,4.2,,,2 sizes,,,"CNY 47.19 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91-lbN4At3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-lbN4At3L._AC_SL1500_.jpg,2026-04-14T11:03:43.368993,
43,2,Organic,,B0CRCNDF1G,"Scott Shop Original Blue Towels (55990), Large 9.4”x11 Cloth-like Paper Towel, 4 packs of 6 (60 Sheets/Roll, 24 Big Rolls/Case, 1,440 Sheet Total)",N/A,CNY 512.40,,CNY 35.58,4.6,,,,,,"CNY 506.11 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81552M5gyQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81552M5gyQL._AC_SL1500_.jpg,2026-04-14T11:03:43.375831,
44,2,Organic,,B09FZQTHQQ,"LANE LINEN Bathroom Towel Set 6 Piece - 100% Zero Twist Cotton - Super Soft & Highly Absorbent - 2 Bath, 2 Washcloths, 2 Hand Towels for Bathroom - Fade Resistant, Durable with a Luxury Look - Taupe",N/A,CNY 191.15,,CNY 31.89,4.2,,,2 sizes,,,"CNY 80.18 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91dThqUxwCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91dThqUxwCL._AC_SL1500_.jpg,2026-04-14T11:03:43.388417,
45,2,Organic,,B0DTTKD4FV,"Pendleton 3 Piece Bath Towel Set - Bath, Hand, and Washcloth, 100% Cotton Shower Towels, Soft and Highly Absorbent, Quick Dry, Fade Resistant for Bathroom, Hotel and Spa - Spider Rock Black/White",N/A,CNY 532.68,,,4.4,,,,,,"CNY 67.95 delivery Thu, Apr 23",,False,False,https://m.media-amazon.com/images/I/81WUQhFddoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WUQhFddoL._AC_SL1500_.jpg,2026-04-14T11:03:43.394971,
46,2,Organic,,B0BN5PBY7G,"LANE LINEN Cotton Kitchen Towels Set, 6-Pack – Absorbent, Quick-Drying Dish Towels, 18"" x 28"", Premium Hand and Tea Towels - Olive",N/A,CNY 95.54,,CNY 15.91,4.5,,,8 sizes,,,"CNY 47.80 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81g6F51VI8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81g6F51VI8L._AC_SL1500_.jpg,2026-04-14T11:03:43.404131,
47,2,Organic,,B0035BTQ06,"Scott Shop Original Blue Towels (75147), 9.4""x11"" Cloth-like Paper Towel (12 Rolls of 55 Sheets, 660 Sheet Total)",N/A,CNY 264.91,,CNY 40.16,4.8,,,,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71HcKSnNGYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HcKSnNGYL._AC_SL1500_.jpg,2026-04-14T11:03:43.414892,
48,2,Organic,,B00387F3RM,"Kleenex White Hand Towels, 60 Count (Pack of 6)",N/A,CNY 206.24,,CNY 57.30,4.5,,60 Count (Pack of 6),2 sizes,,,"CNY 105.44 delivery Thu, Apr 23",,False,False,https://m.media-amazon.com/images/I/81RwjfJjW+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RwjfJjW+L._AC_SL1500_.jpg,2026-04-14T11:03:43.423567,
49,2,Organic,,B002M5XUNK,Genuine Joe-GJO24080 2-Ply Household Roll Paper Towels (Pack of 30) - WHITE,N/A,CNY 248.31,,CNY 8.26,4.1,,,3 sizes,,,CNY 662.16 delivery,,False,False,https://m.media-amazon.com/images/I/81dqwPs23YL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dqwPs23YL._AC_SL1500_.jpg,2026-04-14T11:03:43.430218,
50,2,Organic,,B0013N00P8,"Pacific Blue Basic‚ C-Fold Paper Towels by GP PRO, White, 20603, 240 Towels per Pack, 10 Packs",N/A,CNY 314.08,,CNY 13.11,4.5,,,,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81DEMbfoa9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DEMbfoa9L._AC_SL1500_.jpg,2026-04-14T11:03:43.436272,
51,2,Organic,,B0146LWTG6,"Tork Centerfeed Hand Towel White M23, One-at-a-time Dispensing, 6 x 530 Towels, RC530",N/A,CNY 324.05,,CNY 10.18,4.6,,,,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71UeWXv+BkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71UeWXv+BkL._AC_SL1500_.jpg,2026-04-14T11:03:43.441791,
52,2,Organic,,B0BDM8RS9H,"Winner Face Towels, 100% USDA Biobased Facial Towelettes XL, Disposable Face Towel for Sensitive Skin, Ultra Soft Makeup Remover Dry Wipes, Odor-Free, 55 Count, 1 Pack",N/A,CNY 68.22,,CNY 1.23,4.6,,55 Count (Pack of 1),,,,"CNY 46.71 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61zaN878vlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61zaN878vlL._AC_SL1500_.jpg,2026-04-14T11:03:43.448810,
53,2,Organic,,B008CGX4AW,"Scott Shop Original Blue Towels (75190), 9""x12"" Cloth-like Paper Towel (8 Boxes of 200 Sheets, 1,600 Sheet Total)",N/A,CNY 736.46,,CNY 46.03,4.8,,,,,,"CNY 649.73 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/816qeG4pcSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816qeG4pcSL._AC_SL1500_.jpg,2026-04-14T11:03:43.455096,
54,2,Organic,,B0040ZOD04,"Scott® Professional Universal Multifold Paper Towels, Bulk (01840), Absorbency Pockets, 9.2"" x 9.4"" sheets, Standard Tier, Compressed, White (250 Sheets/Pack, 16 Packs/Case, 4,000 Sheets/Case)",N/A,CNY 272.08,,CNY 6.83,4.4,,,3 sizes,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81v3wzqjqWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81v3wzqjqWL._AC_SL1500_.jpg,2026-04-14T11:03:43.469677,
55,2,Organic,,B0FN5154SV,"Sparkle Tear-A-Square Paper Towels, 12 Double Rolls - Strong 2-Ply Towels for Kitchen Cleanup and Everyday Messes",N/A,CNY 95.20,,CNY 7.24,4.7,,,13 sizes,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71LSKFcPFlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71LSKFcPFlL._AC_SL1500_.jpg,2026-04-14T11:03:43.476508,
56,2,Organic,,B0040ZOD0Y,"Kleenex Professional Universal Multifold Paper Towels, Bulk (01890), Absorbency Pockets, 9.2"" x 9.4"" Towel, White (150 Sheets/Pack, 16 Packs/Case, 2,400 Sheet Total)",N/A,,,,4.6,,,2 sizes,,,,,False,False,https://m.media-amazon.com/images/I/810dwzFjNyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810dwzFjNyL._AC_SL1500_.jpg,2026-04-14T11:03:43.490164,
57,2,Organic,,B0BMQDG363,"Amazon Aware Bamboo Paper Towels, 6 Rolls, 2 ply, FSC Certified, 150 Sheets, 900 Count, Plastic-Free, Multicolor",N/A,CNY 156.05,,CNY 17.35,4.3,,150 sheet (Pack of 6),2 sizes,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61BPzeD1euL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61BPzeD1euL._AC_SL1500_.jpg,2026-04-14T11:03:43.500674,
58,2,Organic,,B008CGX4YS,"Scott Shop Original Blue Towels (75130), 9.4""x11"" Cloth-like Paper Towel (30 Rolls of 55 Sheets, 1,650 Sheet Total)",N/A,CNY 634.44,,CNY 38.45,4.7,,,,,,"CNY 573.66 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71Aj4suDxAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Aj4suDxAL._AC_SL1500_.jpg,2026-04-14T11:03:43.507205,
59,2,Organic,,B0040ZOI1S,"Kleenex® Universal Hard Roll Paper Towels, Bulk (50606), Hardwound 1.75"" Core, Premium Absorbency Pockets™, White, (600'/Roll, 6 Rolls/Case, 3,600'/Case)",N/A,,,,4.6,,,2 sizes,,,,,False,False,https://m.media-amazon.com/images/I/81NDyeJKtkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81NDyeJKtkL._AC_SL1500_.jpg,2026-04-14T11:03:43.518266,
2,3,Organic,,B0DNB63H9W,"Casa Copenhagen Cabana Towel 4Pcs Teal,Blue,Pink,Green Designer Stripe Beach Towels Gift Set, 30""x60"" Oversized 100%Cotton Pool Bath Towel for Beach Gift Set (Perfect Summer Gift Set For Women & Men)",N/A,CNY 194.56,,CNY 48.62,4.2,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81KBKniiFkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KBKniiFkL._AC_SL1500_.jpg,2026-04-14T11:04:02.827531,
3,3,Organic,,B08G5F13W8,"Clean Skin Club Clean Towels®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 1 Pack, 25 Ct",N/A,CNY 81.61,,CNY 3.28,4.7,,25 Count (Pack of 1),,,,"CNY 46.99 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61RL2B-J26L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61RL2B-J26L._AC_SL1500_.jpg,2026-04-14T11:04:02.833651,
4,3,Organic,,B0CXY6FS17,"FACEMADE 60 Count XXL Disposable Face Towels 12"" × 12"", 100% Biobased Face Towels Disposable, Clean Facial Towels for Makeup and Clean Skin, Super Soft and Thick Dry Wipes Club",N/A,CNY 66.18,,CNY 1.09,4.8,,60 Count (Pack of 1),,,,"CNY 50.13 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61b63HeKy6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61b63HeKy6L._AC_SL1500_.jpg,2026-04-14T11:04:02.841680,
6,3,Organic,,B0BT2626DR,"LANE LINEN 100% Cotton Bath Towel Set of 18 – 6 Bath, 6 Hand Towel & 6 Washcloths, Zero Twist, Absorbent Softness for Daily Use, Perfect for Airbnb, Spa & Hotel, Machine Washable – Teal",N/A,CNY 477.98,,CNY 26.57,4.2,,,,,,CNY 227.75 delivery Apr 22 - 28,,False,False,https://m.media-amazon.com/images/I/91tGueyEd2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91tGueyEd2L._AC_SL1500_.jpg,2026-04-14T11:04:02.858601,
7,3,Organic,,B07G9LQFJ8,"Luxury White Bath Towel Set of 8 Pieces - 100% Turkish Cotton 700 GSM Highly Absorbent Towels for Bathroom, 2 Bath Towels, 2 Hand Towels, 4 Washcloths",N/A,CNY 273.10,,CNY 34.15,4.5,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_SL1500_.jpg,2026-04-14T11:04:02.873632,
