rank,page,ad_type,ad_rank,asin,title,url,price_current,price_list,price_unit,rating_stars,rating_count,spec,variation_options,sales,coupon,delivery_primary,delivery_secondary,is_prime,is_amazon_fulfilled,image_small,image_large,scraped_at
15,1,Organic,,B07FBZVWB4,"KAHAF COLLECTION 6 Pack Bath Towels Set (27 x 54 Inches) 100% Ring Spun Cotton, Lightweight, Quick Dry, Highly Absorbent Towels Multicolor, (27x54) Inches",N/A,CNY 170.39,,CNY 28.41,3.6,,,,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81y0Jtp3DJL._AC_SL1500_.jpg,2026-04-14T09:57:23.655516
16,1,Organic,,B0BL6JGQM4,"POLYTE 430 GSM Microfiber Oversize Quick Dry Lint Free Bath Towel, 60 x 30 in, 4 Pack (Waffle Weave)",N/A,CNY 286.08,,CNY 71.50,4.4,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91IX-0seZ-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91IX-0seZ-L._AC_SL1500_.jpg,2026-04-14T09:57:23.665790
17,1,Organic,,B008C8J5QC,"Utopia Towels, Salon Towel, Pack of 24, Not Bleach Proof, 16 by 27 Inches, Highly Absorbent Cotton Towels for Hand, Gym, Beauty, Spa, and Home Hair Care, Black",N/A,CNY 273.10,,CNY 11.40,4.5,,,4 sizes,,,CNY 169.91 delivery Apr 21 - 28,,False,False,https://m.media-amazon.com/images/I/91-JpSMKXDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-JpSMKXDL._AC_SL1500_.jpg,2026-04-14T09:57:23.678804
18,1,Organic,,B0812B1FMQ,"Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 50 ct per pack, 2 Packs, 100 Ct Total",N/A,CNY 245.17,,CNY 2.46,4.8,,50 Count (Pack of 2),,,,"CNY 58.80 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/819VWIUIXSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819VWIUIXSL._AC_SL1500_.jpg,2026-04-14T09:57:23.683949
19,1,Organic,,B0DWSZ4SVY,"Utopia Towels 6 Pack Bath Towel Set (27 x 54 Inches), 500 GSM 100% Ring Spun Cotton Medium Lightweight and Highly Absorbent Quick Drying, Premium Towels for Hotel, Spa and Bathroom (White)",N/A,,,,4.3,,,5 sizes,,,,,False,False,https://m.media-amazon.com/images/I/81y+Ipv+sHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81y+Ipv+sHL._AC_SL1500_.jpg,2026-04-14T09:57:23.701816
21,1,Organic,,B07B6GC2R5,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", White",N/A,CNY 126.34,,CNY 63.17,4.1,,,10 sizes,,,"CNY 72.12 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61kQk2OvjvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61kQk2OvjvL._AC_SL1500_.jpg,2026-04-14T09:57:23.718439
22,1,Organic,,B010S5WEZA,"Amazon Basics Highly Absorbent, Fast Drying 100% Cotton Washcloths for Bathroom, Machine Washable, Soft, 12 x 12 in, White, 60-Pack",N/A,CNY 293.59,,CNY 4.92,4.6,,,4 sizes,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61NBfRkYLKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61NBfRkYLKL._AC_SL1500_.jpg,2026-04-14T09:57:23.732595
23,1,Organic,,B07G9LQFJ8,"Luxury White Bath Towel Set of 8 Pieces - 100% Turkish Cotton 700 GSM Highly Absorbent Towels for Bathroom, 2 Bath Towels, 2 Hand Towels, 4 Washcloths",N/A,CNY 273.10,,CNY 34.15,4.5,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91y2TKtZXCL._AC_SL1500_.jpg,2026-04-14T09:57:23.750414
24,1,Organic,,B09ZY2D42V,"Infinitee Xclusives Luxury 100% Ring-Spun Cotton White Bath Towels Set of 4 (27x54 inches) – Soft, Absorbent & Quick-Drying Towels for Bathroom, Gym, Spa & Hotel Use (Brilliant White, Bath Towels)",N/A,CNY 252.61,,CNY 63.17,4.3,,,5 sizes,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81MXIB0LoRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81MXIB0LoRL._AC_SL1500_.jpg,2026-04-14T09:57:23.769064
25,1,Organic,,B01056KA58,"White Classic Luxury Bath Towels Set of 4 Large - 700 GSM Turkish Cotton Ultra Soft Bath Towels 27x54 | Highly Absorbent and Quick Dry | Hotel Towels for Bathroom Luxury, Plush Shower Towels, White",N/A,CNY 307.25,,CNY 76.83,4.4,,,,,,"CNY 169.91 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81i11OTEtKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81i11OTEtKL._AC_SL1500_.jpg,2026-04-14T09:57:23.787994
26,1,Organic,,B00WFUPHF6,"COTTON CRAFT- Euro Spa Set of 4 Luxury Waffle Weave Bath Towels, Oversized Pure Ringspun Cotton, 30 inch x 56 inch, White",N/A,CNY 259.44,,CNY 64.88,4.4,,,5 sizes,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81yOJaoponL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yOJaoponL._AC_SL1500_.jpg,2026-04-14T09:57:23.804654
27,1,Organic,,B081FJHMYF,"KAHAF Collection 6-Pack Bath Towels - Lightweight - Extra Absorbent - 100% Cotton - Shower towels (Multi, 27 inchesx54 inches)",N/A,CNY 184.32,,CNY 30.73,4.0,,,3 sizes,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81UwogJF3yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UwogJF3yL._AC_SL1500_.jpg,2026-04-14T09:57:23.813059
28,1,Organic,,B07B6CDT7T,"Amazon Basics 2-Piece Quick-Dry Oversize Bath Towel, 100% Cotton, 54"" x 30"", Lake Blue",N/A,CNY 136.58,,CNY 68.29,4.1,,,10 sizes,,,"CNY 72.12 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81yFGYQDdLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yFGYQDdLL._AC_SL1500_.jpg,2026-04-14T09:57:23.828052
29,1,Organic,,B08LBKXYWF,"Tens Towels Pack of 8 Towels Set, 2 Extra Large Bath, 2 Hand, 4 Washcloths, 100% Cotton, Lighter Weight, Quicker to Dry, Super Absorbent, Perfect for Bathroom, Dark Grey",N/A,CNY 218.19,,CNY 231.85,4.4,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/917M+2Zic6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/917M+2Zic6L._AC_SL1500_.jpg,2026-04-14T09:57:23.841945
31,1,Organic,,B07CFRTNMC,"Amazon Basics Soft and Thick Cotton Hand Towels for Gym, 16 x 26 in, Gray, 12-Pack",N/A,CNY 136.52,,CNY 11.40,4.7,,,3 sizes,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81+8d9PbTKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+8d9PbTKL._AC_SL1500_.jpg,2026-04-14T09:57:23.856874
32,1,Organic,,B098T6CYQJ,"Unifree Disposable Bath Towels 丨Camping Towel I Gym Towel I Barber Towel 20 Count, Individually Packed, Large Size 27.5 by 55 inches (27.5“x55”)",N/A,CNY 273.10,,"CNY 1,365.50",4.7,,,2 sizes,,,"CNY 105.44 delivery Fri, Apr 24",,False,False,https://m.media-amazon.com/images/I/71CvZJ01+rL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71CvZJ01+rL._AC_SL1500_.jpg,2026-04-14T09:57:23.864050
33,1,Organic,,B093CJRVX8,"Modern Threads Floral Trail 6-Piece 100% Cotton Towel Set – Reversible Yarn Dyed Jacquard - Includes 2 Bath Towels, 2 Hand Towels, 2 Washcloths – Absorbent, Quick Dry, Soft & Durable – Navy",N/A,,,,4.4,,,,,,,,False,False,https://m.media-amazon.com/images/I/91WqO64F3KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91WqO64F3KL._AC_SL1500_.jpg,2026-04-14T09:57:23.876813
34,1,Organic,,B0BF4CYDTH,"POLYTE 430 GSM Microfiber Quick Dry Lint Free Oversize Bath Towel Set, 6 Piece (Waffle Weave)",N/A,CNY 245.78,,,4.4,,,,,,"CNY 86.12 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/917f+8VuybL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/917f+8VuybL._AC_SL1500_.jpg,2026-04-14T09:57:23.885816
35,1,Organic,,B0FHVWM2B1,"HOMEXCEL Grey Bath Towels 2 Pack, Microfiber Bathroom Towel, Super Soft Highly Absorbent Bath Towel Set, Quick Drying Towels for Sport, Yoga, SPA, Fitness",N/A,CNY 81.88,,CNY 40.98,4.2,,,2 sizes,,,"CNY 47.80 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81hygPimWaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hygPimWaL._AC_SL1500_.jpg,2026-04-14T09:57:23.896216
36,1,Organic,,B000UC5R92,Genuine Joe GJO22600 Embossed Hardwound Roll Towels (Pack of 6),N/A,CNY 230.28,,CNY 0.96,4.4,,6 Count (Pack of 1),6 sizes,,,CNY 669.47 delivery,,False,False,https://m.media-amazon.com/images/I/619JNtDCqEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/619JNtDCqEL._AC_SL1500_.jpg,2026-04-14T09:57:23.902748
37,1,Organic,,B07VMB9DDP,"Sand Cloud Turkish Beach Towel - Sand Proof - 100% Certified Organic Turkish Towel - Quick Dry Towel for Beach, Picnic, Blanket or Bath Towel - As Seen on Shark Tank - Gocek (Black)",N/A,CNY 327.80,,,4.6,,,4 sizes,,Save 5%,CNY 61.05 delivery Apr 22 - 27,,False,False,https://m.media-amazon.com/images/I/91+yYv87U-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91+yYv87U-L._AC_SL1500_.jpg,2026-04-14T09:57:23.913111
38,1,Organic,,B0103XVVME,Luxury White Hand Towels - Soft 100% Turkish Cotton | Highly Absorbent Hotel spa Bathroom Towel Collection | 16x30 Inch | Set of 6,N/A,CNY 157.00,,CNY 26.16,4.5,,,,,,"CNY 70.89 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71XLoBSG4aL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71XLoBSG4aL._AC_SL1500_.jpg,2026-04-14T09:57:23.929001
39,1,Organic,,B09ZTS9ZC9,"Orighty Bath Towels Pack of 2(27'' x 54'') - Soft Feel, Highly Absorbent, Quick Drying Microfiber for Body, Sport, Yoga, SPA, Fitness - Grey",N/A,CNY 92.13,,CNY 46.10,4.3,,,6 sizes,,,"CNY 49.10 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71D-QQImzWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71D-QQImzWL._AC_SL1500_.jpg,2026-04-14T09:57:23.940301
40,1,Organic,,B0D4CXX16H,"Amazon Basics Fade-Resistant 100% Cotton Bath Towel, 30""x54"", Teal Green, 2-Pack",N/A,CNY 161.31,,CNY 80.65,4.2,,,5 sizes,,,"CNY 111.18 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81eufHl4ABL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eufHl4ABL._AC_SL1500_.jpg,2026-04-14T09:57:23.959362
41,1,Organic,,B079VP6DH5,"Bounty Paper Towels Quick Size, White, 16 Family Rolls = 40 Regular Rolls",N/A,,,,4.8,,,4 sizes,,,,,False,False,https://m.media-amazon.com/images/I/81JieznBIhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JieznBIhL._AC_SL1500_.jpg,2026-04-14T09:57:23.965018
42,1,Organic,,B0CCW8QR2K,"NY Loft 6-Piece Cotton Towel Set - Super Soft & Absorbent, Quick-Dry, Sand Color, OEKO-TEX Certified, Machine Washable",N/A,CNY 682.85,,CNY 113.84,4.3,,,4 sizes,,,"CNY 77.38 delivery Thu, Apr 23",,False,False,https://m.media-amazon.com/images/I/81MTuEnMV-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81MTuEnMV-L._AC_SL1500_.jpg,2026-04-14T09:57:23.974904
43,1,Organic,,B07PBXXNCY,"Clean Skin Club Clean Towels XL®, 100% USDA Biobased Face Towel, Disposable Face Towelette, Eczema Association Accepted, Makeup Remover Dry Wipes, Ultra Soft, 1 Pack, 50 Ct",N/A,CNY 122.58,,CNY 2.46,4.8,,50 Count (Pack of 1),,,,"CNY 46.85 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61Cn1ooILhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61Cn1ooILhL._AC_SL1500_.jpg,2026-04-14T09:57:23.981389
44,1,Organic,,B085MCLJ4W,"LANE LINEN 100% Cotton Bathroom Towel Set of 24 - Durable, Soft & Absorbent - 4 Bath, 4 Fingertip, 6 Hand, 8 Washcloths, 2 Bath Sheets, Hotel & Spa-Quality Design - White Towels",N/A,CNY 430.17,,CNY 17.89,4.3,,,4 sizes,,,"CNY 227.75 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/914IYYJfjcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/914IYYJfjcL._AC_SL1500_.jpg,2026-04-14T09:57:23.994214
45,1,Organic,,B07RPNBLWK,"Cotton Paradise 6 Piece Towel Set, 100% Cotton Soft Absorbent Turkish Towels for Bathroom, 2 Bath Towels 2 Hand Towels 2 Washcloths, Beige Towel Set",N/A,CNY 232.13,,CNY 273.10,4.4,,,,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91kN6m4K0oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91kN6m4K0oL._AC_SL1500_.jpg,2026-04-14T09:57:24.009271
46,1,Organic,,B0BMK73TPP,"KAHAF COLLECTION 100% Cotton Bath Towels, 24x48 Pack of 6 Towels, Quick Dry, Highly Absorbent, Soft Feel Towel, Gym, Spa, Bathroom, Shower, Pool, Luxury Soft Towels (Grey, 24x48-6 Pack)",N/A,CNY 197.98,,CNY 32.99,3.4,,,,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/91YIxo+7fEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91YIxo+7fEL._AC_SL1500_.jpg,2026-04-14T09:57:24.018518
47,1,Organic,,B09FH314SM,"LANE LINEN 100% Cotton Turkish Towel Set for Bathroom - 16 Piece - Super Soft, Quick Dry & Highly Absorbent - 4 Bath, 8 Wash cloths, 4 Hand Towels - Hotel Quality, Durable & OEKO-TEX Certified - Grey",N/A,CNY 307.59,,CNY 19.26,4.1,,,2 sizes,,,"CNY 102.98 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/A1yu1vQrqpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/A1yu1vQrqpL._AC_SL1500_.jpg,2026-04-14T09:57:24.030772
48,1,Organic,,B00X17S8Z8,Cotton Craft Ultra Soft 4 Pack Oversized Extra Large Bath Towels 30x54 White Weighs 22 Ounces - 100% Pure Ringspun Cotton - Luxurious Rayon Trim - Ideal for Everyday use - Easy Care Machine wash,N/A,CNY 238.95,,CNY 59.76,4.5,,,3 sizes,,,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/71xwl-x7swL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xwl-x7swL._AC_SL1500_.jpg,2026-04-14T09:57:24.043594
49,1,Organic,,B0DL668H54,COTTON CRAFT Oversized Beach Towel - 2 Pack 35 x 70 inches XL Beach Towel - 100% Cotton Velour - Big & Huge - Thick Plush 450 GSM Super Soft Luxury Towel - Pool Picnic Bath - Cabana Stripe Black,N/A,CNY 215.05,,CNY 107.56,4.6,,,2 sizes,,,"CNY 111.18 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/61XLibYASDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61XLibYASDL._AC_SL1500_.jpg,2026-04-14T09:57:24.054820
51,1,Organic,,B07SLR3T9F,"Hawmam Linen White Bath Towels 4 Pack 27 x 54 Inches 100% Turkish Cotton Soft Lightweight and Highly Absorbent Quick Drying Towels, Premium Quality Perfect for Daily Use",N/A,CNY 201.53,,CNY 50.40,4.3,,,8 sizes,,,"CNY 82.98 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81ep3f8V2QL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ep3f8V2QL._AC_SL1500_.jpg,2026-04-14T09:57:24.066028
52,1,Organic,,B0DWSY83M4,"Utopia Towels 6 Pack Bath Towel Set (27 x 54 Inches), 500 GSM 100% Ring Spun Cotton Medium Lightweight and Highly Absorbent Quick Drying, Premium Towels for Hotel, Spa and Bathroom (Grey)",N/A,,,,4.3,,,5 sizes,,,,,False,False,https://m.media-amazon.com/images/I/91NMunqj+rL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NMunqj+rL._AC_SL1500_.jpg,2026-04-14T09:57:24.082818
53,1,Organic,,B0BTJBYRSY,"ZUPERIA 7-Pack Bath Towels - 30"" x 54"" - Ultra Soft 100% Cotton Large Bath Towels- Highly Absorbent for Bathroom, Pool, Gym, Spa, and Hotel Use (Colors Variety)",N/A,CNY 232.13,,CNY 33.19,4.0,,,,,Save 5%,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81hGwSXlq6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hGwSXlq6L._AC_SL1500_.jpg,2026-04-14T09:57:24.090300
54,1,Organic,,B07B9LMRPH,"Chakir Turkish Linens | Hotel & Spa Quality 100% Cotton Premium Turkish Towels | Soft & Absorbent (4-Piece Bath Towels, Gray)",N/A,CNY 233.49,,CNY 58.39,4.3,,,10 sizes,,,CNY 169.91 delivery Apr 21 - 27,,False,False,https://m.media-amazon.com/images/I/91VN6LbuEdL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VN6LbuEdL._AC_SL1500_.jpg,2026-04-14T09:57:24.104466
55,1,Organic,,B0CPT14R69,"ZUPERIA White Bath Towels Bulk 12 Pack (20 x 40 Inches) - 100% Cotton Economy Light Weight Towels for Commercial Use - Quick Dry, Ultra-Soft, and Absorbent Bulk Towels",N/A,CNY 202.76,,CNY 16.87,3.9,,,2 sizes,,Save 5%,"CNY 118.35 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/81nDQei5XYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nDQei5XYL._AC_SL1500_.jpg,2026-04-14T09:57:24.111647
56,1,Organic,,B091JGHYTH,"QUBA LINEN Hotel & Spa 100% Cotton Bath Towels Pack of 6, Ultra Soft, Quick Dry, Lightweight, Highly Absorbent, Perfect for Face, Hands, Spa, Gym, Hotel, Resort & Daily Use - Grey (24"" x 48"")",N/A,CNY 191.15,,CNY 31.89,3.4,,,2 sizes,,,"CNY 105.44 delivery Wed, Apr 22",,False,False,https://m.media-amazon.com/images/I/910-5ZPtvZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910-5ZPtvZL._AC_SL1500_.jpg,2026-04-14T09:57:24.119310
57,1,SB_Video,2.0,,N/A,N/A,,,,,,,,,,,,False,False,,,2026-04-14T09:57:24.121850
